Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2025-09-15,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-15,3 - Factor vermelha SGE,Entrada,Caução,500.0,Calção,2025,9,2025-09
2025-09-15,3 - Factor vermelha SGE,Saída,Outros,35.0,Cartório,2025,9,2025-09
2025-09-15,2 - Factor 150cc STS,Entrada,Aluguel,300.0,,2025,9,2025-09
2025-09-15,1 - Honda CG preta OYQ,Entrada,Aluguel,230.0,,2025,9,2025-09
2025-09-18,4 - Factor preta SOC,Saída,Seguro,98.9,,2025,9,2025-09
2025-09-18,3 - Factor vermelha SGE,Saída,Seguro,98.9,,2025,9,2025-09
2025-09-18,2 - Factor 150cc STS,Saída,Seguro,85.0,,2025,9,2025-09
2025-09-19,2 - Factor 150cc STS,Saída,Manutenção,30.0,Óleo,2025,9,2025-09
2025-09-22,1 - Honda CG preta OYQ,Saída,Seguro,95.0,,2025,9,2025-09
2025-09-23,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-28,1 - Honda CG preta OYQ,Entrada,Aluguel,450.0,,2025,9,2025-09
2025-09-28,5 - Yamaha Factor Azul - SOK,Saída,Outros,255.0,Revisão,2025,9,2025-09
2025-09-28,2 - Factor 150cc STS,Saída,Outros,68.88,Vistoria DETRAN,2025,9,2025-09
2025-09-28,5 - Yamaha Factor Azul - SOK,Saída,Outros,68.88,Vistoria DETRAN,2025,9,2025-09
2025-09-29,5 - Yamaha Factor Azul - SOK,Saída,Seguro,130.0,,2025,9,2025-09
2025-09-29,5 - Yamaha Factor Azul - SOK,Saída,Outros,730.0,Protetor de Carenagem,2025,9,2025-09
2025-09-30,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-30,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
,,,,,,,,<NA>-<NA>
2025-10-02,5 - Yamaha Factor Azul - SOK,Saída,Outros,60.0,Lavagem,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Saída,Outros,440.0,Envelopamento,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Entrada,Caução,200.0,Calção,2025,10,2025-10
2025-10-02,3 - Factor vermelha SGE,Saída,Outros,156.86,Vistoria Polícia Civil,2025,10,2025-10
2025-10-03,2 - Factor 150cc STS,Saída,Outros,156.86,Vistoria Polícia Civil,2025,10,2025-10
2025-10-03,5 - Yamaha Factor Azul - SOK,Saída,Outros,32.0,Suporte  Celular,2025,10,2025-10
2025-10-04,2 - Factor 150cc STS,Saída,Outros,260.0,Revisão,2025,10,2025-10
2025-10-06,5 - Yamaha Factor Azul - SOK,Saída,Outros,30.0,Elétrica,2025,10,2025-10
2025-10-07,5 - Yamaha Factor Azul - SOK,Entrada,Caução,50.0,Calção,2025,10,2025-10
2025-10-07,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-08,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,10,2025-10
